feature_name,coefficient,absolute_coefficient
ratio_liabilities_to_assets__rolling_mean_4q,1.6023213956447826,1.6023213956447826
ratio_liabilities_to_assets__slope_4q,1.2996594422085852,1.2996594422085852
Assets,-0.8832279465347768,0.8832279465347768
InterestExpense,0.8798128974101198,0.8798128974101198
InterestExpense__rolling_mean_4q,-0.8120244512413947,0.8120244512413947
ratio_total_debt_to_assets__rolling_mean_4q,0.7263344811959981,0.7263344811959981
ratio_total_debt_to_assets__slope_4q,0.6663106745565169,0.6663106745565169
CashAndCashEquivalentsAtCarryingValue__rolling_mean_4q,0.649071844772439,0.649071844772439
OperatingIncomeLoss,-0.6334566230839529,0.6334566230839529
ratio_cash_to_assets__change_qoq,0.6112327447905398,0.6112327447905398
NetIncomeLoss,-0.5815852067581281,0.5815852067581281
NetCashProvidedByUsedInOperatingActivities,-0.5379346582163033,0.5379346582163033
ratio_cash_to_assets__change_yoy,0.5073390324643918,0.5073390324643918
InterestExpense__slope_4q,-0.48595254517056624,0.48595254517056624
ratio_equity_to_assets__rolling_mean_4q,-0.46919573667608633,0.46919573667608633
StockholdersEquity,-0.4417444340096737,0.4417444340096737
ratio_equity_to_assets__change_yoy,0.4369272551604088,0.4369272551604088
ratio_cash_and_restricted_cash_to_assets,-0.42812696976465703,0.42812696976465703
CashAndCashEquivalentsAtCarryingValue,-0.4022440270147257,0.4022440270147257
Liabilities,0.3661841747543188,0.3661841747543188
ratio_liabilities_to_assets,-0.3346862759407982,0.3346862759407982
ratio_cash_and_restricted_cash_to_assets__rolling_mean_4q,-0.3293660430139034,0.3293660430139034
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,0.31579755790449077,0.31579755790449077
StockholdersEquity__rolling_mean_4q,0.30189793587235286,0.30189793587235286
Liabilities__rolling_mean_4q,0.29746084294677044,0.29746084294677044
InterestExpense__change_qoq,-0.2945827488852205,0.2945827488852205
ratio_equity_to_assets,-0.29391213995165,0.29391213995165
ratio_cash_and_restricted_cash_to_assets__slope_4q,-0.28117573214222985,0.28117573214222985
Assets__change_qoq,0.2789127082731232,0.2789127082731232
ratio_cash_to_assets__rolling_mean_4q,0.27207813110916285,0.27207813110916285
ratio_total_debt_to_assets,0.25046013731960715,0.25046013731960715
NetIncomeLoss__rolling_mean_4q,0.24855018812519314,0.24855018812519314
ratio_cash_and_restricted_cash_to_assets__change_yoy,0.23793928533343642,0.23793928533343642
OperatingIncomeLoss__change_qoq,0.23782574292616235,0.23782574292616235
ratio_equity_to_assets__slope_4q,-0.22288286476437716,0.22288286476437716
NetIncomeLoss__change_qoq,0.22130869213976992,0.22130869213976992
OperatingIncomeLoss__slope_4q,0.2052734376957238,0.2052734376957238
CashAndCashEquivalentsAtCarryingValue__change_qoq,0.20296380971117708,0.20296380971117708
Assets__rolling_mean_4q,0.19937743398713842,0.19937743398713842
ratio_total_debt_to_assets__change_yoy,-0.166372996719009,0.166372996719009
